train/loss,train/explained_variance,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/n_updates,train/approx_kl,episode/mean_reward_10,train/clip_fraction,time/total_timesteps,episode/reward,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_rew_mean,evaluation/improvement_vs_baseline,train/value_loss,eval/reward_improvement_pct,eval/waiting_improvement_pct,eval/best_mean_reward,eval/mean_reward,eval/rl_avg_waiting,eval/mean_ep_length,eval/rl_reward,eval/throughput_improvement_pct,eval/rl_avg_throughput
-0.016856081783771515,0.999977171421051,,-0.6802382236346602,-0.008194305395591073,0.2,,3744,0.009385987,62.8773015,0.060791015625,240000,62.95873,,0.0005,,,39.32435264842437,0.042439288190507796,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.09002622961997986,0.9999634623527527,470,-0.7218879656866193,-0.003917612310033292,0.2,80.0,3752,0.031418327,62.690158700000005,0.1748046875,240640,62.744444,101604,0.0005,2,62.850158719999996,38.90967916783912,0.024310523866006406,,,,,,,,,
-0.05496098846197128,0.9999539852142334,480,-0.7276023533195257,-0.0048890814068727195,0.2,80.0,3832,0.01031523,62.900158700000006,0.101806640625,245760,62.85873,103698,0.0005,2,62.766730130000006,39.37499993317396,0.008290501242299797,,,,,,,,,
-0.006738100200891495,0.9999542236328125,,-0.7369846105575562,-0.008115622462355532,0.2,,3904,0.004651054,62.877301599999996,0.03369140625,250000,62.901587,,0.0005,,,39.324352870005676,0.041784291322983336,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
-0.0002439245581626892,0.9999741315841675,490,-0.7989240055903792,-0.007978295630891807,0.2,80.0,3912,0.00893501,62.840158900000006,0.058349609375,250880,62.85873,105911,0.0005,2,62.83830158,39.24205158624092,0.03955206175305648,,,,,,,,,
-0.0202721506357193,0.9999638795852661,500,-0.7825886011123657,-0.006755623471690342,0.2,80.0,3992,0.009470744,62.8401587,0.059326171875,256000,62.85873,108016,0.0005,2,62.84001583,39.242051143078285,0.03850102997967042,,,,,,,,,
-0.056907616555690765,0.9999337196350098,,-1.0995432352647185,-0.013659075993928127,0.2,,4056,0.014457682,62.50587290000001,0.19189453125,260000,62.187302,,0.0005,,,38.501336265475594,0.014967438473831862,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.0763683170080185,0.9999039173126221,510,-1.1567729692906141,-0.01722517699818127,0.2,80.0,4072,0.0106535945,62.5158729,0.104248046875,261120,62.544444,110226,0.0005,2,62.67187296,38.52349439715818,0.01792497607675614,,,,,,,,,
-0.08043521642684937,0.9998974800109863,520,-1.2152438424527645,-0.008646788483019918,0.2,80.0,4152,0.010887103,62.32587309999999,0.108642578125,266240,62.230159,112321,0.0005,2,62.47973013,38.10249033835119,0.012506288116128417,,,,,,,,,
-0.05636316165328026,0.9999490976333618,,-0.8330206088721752,-0.009873544477159157,0.2,,4216,0.012529793,62.7987303,0.131103515625,270000,62.75873,,0.0005,,,39.15025354881829,0.012546272519102786,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.056051429361104965,0.999936580657959,530,-0.8780750222504139,-0.00765774016326759,0.2,80.0,4232,0.012267715,62.7558729,0.093505859375,271360,62.844444,114536,0.0005,2,62.5813016,39.05528955754086,0.024951005329057807,,,,,,,,,
-0.020014796406030655,0.9998140931129456,540,-0.8416699282824993,-0.007560504323919304,0.2,80.0,4312,0.0045415927,62.7530159,0.052001953125,276480,62.701587,116636,0.0005,2,62.77558730999999,39.04895897931914,0.04592576036520768,,,,,,,,,
-0.03610710799694061,0.9999005198478699,,-0.6808340568095446,-0.00508524633187335,0.2,,4368,0.0039926153,62.8673016,0.0537109375,280000,62.801587,,0.0005,,,39.30219473832307,0.0447157174203312,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
-0.051900219172239304,0.9998929500579834,550,-0.6845017997547984,-0.012295753869693726,0.2,80.0,4392,0.0076340577,62.858730200000004,0.141357421875,281600,62.687302,118851,0.0005,2,62.838015850000005,39.28320211733265,0.042208779170323396,,,,,,,,,
-0.05215006694197655,0.9998380541801453,560,-0.8264189502224326,-0.007657535155885853,0.2,80.0,4472,0.015415713,62.745873100000004,0.104248046875,286720,62.915873,120947,0.0005,2,62.85044439999999,39.033131869020885,0.014814668884355342,,,,,,,,,
-0.042493484914302826,0.9999375939369202,,-0.7792625641450286,-0.006039023763150908,0.2,,4528,0.013434537,62.801587100000006,0.122802734375,290000,62.644444,,0.0005,,,39.156583683877386,0.011473412860141252,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
0.06472393125295639,0.9999481439590454,570,-0.791734398342669,-0.0043757384410128,0.2,80.0,4552,0.052723296,62.58873010000001,0.0849609375,291840,62.473016,123161,0.0005,2,62.774158670000006,38.684932340320834,0.014410599225811893,,,,,,,,,
-0.018956780433654785,0.9998908042907715,580,-0.8396872002631426,-0.0020019423827761784,0.2,80.0,4632,0.01188232,62.785872899999994,0.160888671875,296960,63.001587,125266,0.0005,2,62.44815865999998,39.12176395258867,0.025360874496982433,,,,,,,,,
-0.06121406704187393,0.999846875667572,,-0.8028508992865682,-0.009725796029670164,0.2,,4680,0.009001409,62.730158599999996,0.105224609375,300000,62.644444,,0.0005,,,38.99831147298823,0.009023465059726732,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
